10.03.1984	11.5322953	48.1335917	U Heimeranplatz	U4	4	1ba77f		31.12.2014
10.03.1984	11.5410261	48.1338533	Schwanthalerhˆhe	U4	5	1ba77f		31.12.2014
10.03.1984	11.5522439	48.1358234	Theresienwiese	U4	6	1ba77f		31.12.2014
10.03.1984	11.5603721	48.1393801	Hauptbahnhof	U4	7	1ba77f		31.12.2014
10.03.1984	11.5664087	48.1402066	Karlsplatz (Stachus)	U4	8	1ba77f		31.12.2014
01.03.1986	11.5776629	48.142686	Odeonsplatz	U4	9	1ba77f		31.12.2014
27.10.1988	11.588056	48.139444	Lehel	U4	10	1ba77f		31.12.2014
27.10.1988	11.597778	48.135556	Max-Weber-Platz	U4	11	1ba77f		31.12.2014
27.10.1988	11.6166222	48.1483588	Richard-Strauss-Straﬂe	U4	15	1ba77f		31.12.2014
27.10.1988	11.60712	48.139273	Prinzregentenplatz	U4	13	1ba77f		31.12.2014
27.10.1988	11.616676	48.148132	Bˆhmerwaldplatz	U4	14	1ba77f		31.12.2014
27.10.1988	11.621743	48.1535	Arabellapark	U4	16	1ba77f		31.12.2014
24.03.1988	11.5017527	48.1355314	Laimer Platz	U5	1	bc7b01		31.12.2014
24.03.1988	11.5106043	48.1351918	Friedenheimer Straﬂe	U5	2	bc7b01		31.12.2014
10.03.1984	11.5211145	48.1347925	Westendstraﬂe	U5	3	bc7b01		31.12.2014
10.03.1984	11.5322953	48.1335917	U Heimeranplatz	U5	4	bc7b01		31.12.2014
10.03.1984	11.5410261	48.1338533	Schwanthalerhˆhe	U5	5	bc7b01		31.12.2014
10.03.1984	11.5522439	48.1358234	Theresienwiese	U5	6	bc7b01		31.12.2014
10.03.1984	11.5603721	48.1393801	Hauptbahnhof	U5	7	bc7b01		31.12.2014
10.03.1984	11.5664087	48.1402066	Karlsplatz (Stachus)	U5	8	bc7b01		31.12.2014
01.03.1986	11.5776629	48.142686	Odeonsplatz	U5	9	bc7b01		31.12.2014
27.10.1988	11.588056	48.139444	Lehel	U5	10	bc7b01		31.12.2014
27.10.1988	11.597778	48.135556	Max-Weber-Platz	U5	11	bc7b01		31.12.2014
27.10.1988	11.6034778	48.1285579	Ostbahnhof	U5	12	bc7b01		31.12.2014
